@RELATION data

@ATTRIBUTE 50daymovingaverage REAL
@ATTRIBUTE volume REAL
@ATTRIBUTE market/bookratio REAL
@ATTRIBUTE p/e REAL
@ATTRIBUTE debt/equityratio REAL
@ATTRIBUTE freecashflowyield REAL
@ATTRIBUTE class {FALSE,TRUE}

@DATA
0.95763371,72734200,4.00277669,5.925979153,0.659961686,0.012301687,FALSE
0.913918856,100564800,3.808231002,5.637960665,0.659961686,0.012878878,FALSE
0.998821479,244896400,4.163276889,6.163594415,0.659961686,0.011863062,FALSE
0.48607261,1855410200,2.003820221,2.966589889,0.659961686,0.022801745,FALSE
0.462880105,606197200,1.983232944,3.396358443,0.656440224,0.013160434,FALSE
0.430229337,509530000,1.82477882,3.125,0.656440224,0.014112104,FALSE
0.460229143,366506000,1.93211875,3.308823529,0.656440224,0.013453088,FALSE
0.434531052,218251600,1.80433306,3.089985894,0.656440224,0.014245021,FALSE
0.44218578,153164200,1.814556008,3.107493064,0.656440224,0.014178251,FALSE
0.438105082,149391200,1.778776031,3.046218554,0.656440224,0.014414728,FALSE
0.425613265,172775400,1.707216077,2.923669535,0.656440224,0.014912165,FALSE
0.405030642,299605600,1.604987553,2.748599473,0.656440224,0.015685434,FALSE
0.417465734,297766000,1.635656124,2.801120515,0.656440224,0.015445162,FALSE
0.465557932,311938200,1.80433306,3.089985894,0.656440224,0.014245021,FALSE
0.458697244,205044000,1.758330272,3.011204448,0.656440224,0.014553435,FALSE
0.434518591,150430000,1.645878935,2.818627451,0.656440224,0.015366699,FALSE
0.439572443,208566400,1.645878935,2.818627451,0.656440224,0.015366699,FALSE
0.418861187,376681200,1.548761816,2.652310858,0.656440224,0.016145919,FALSE
0.436724028,197815800,1.594764741,2.731092537,0.656440224,0.015767194,FALSE
0.461972328,137823000,1.666324695,2.853641557,0.656440224,0.01521214,FALSE
0.43350319,201112800,1.54365041,2.64355739,0.656440224,0.016189125,TRUE
0.430464049,165992400,1.512981839,2.591036348,0.656440224,0.0164533,TRUE
0.436558845,180462800,1.512981839,2.591036348,0.656440224,0.0164533,TRUE
0.444937139,186125800,1.518093245,2.599789816,0.656440224,0.016408674,TRUE
0.469826206,159797400,1.579430387,2.704831899,0.656440224,0.015891446,TRUE
0.483181292,221470200,1.599876147,2.739846005,0.656440224,0.015726208,TRUE
0.514259741,143841600,1.676547506,2.871148493,0.656440224,0.01513602,TRUE
0.568860848,147673400,1.82477882,3.125,0.656440224,0.014112104,FALSE
0.577233343,128955400,1.819667414,3.116246532,0.656440224,0.0141451,FALSE
0.566553525,98369600,1.753218866,3.00245098,0.656440224,0.014588529,FALSE
0.574407711,75490800,1.742996054,2.984944044,0.656440224,0.014659228,FALSE
0.55236736,105522200,1.640767529,2.809873983,0.656440224,0.01540583,TRUE
0.568106865,119208600,1.650990341,2.827380919,0.656440224,0.015327766,TRUE
0.54939614,105562800,1.558984764,2.669818027,0.656440224,0.016060193,TRUE
0.572954681,107954000,1.584541793,2.713585367,0.656440224,0.015849812,FALSE
0.614153965,102250400,1.656101747,2.836134387,0.656440224,0.015289029,FALSE
0.617218037,70589400,1.625433176,2.783613345,0.656440224,0.015524431,FALSE
0.606235835,59843000,1.553873222,2.661064326,0.656440224,0.016102943,TRUE
0.605893118,111545000,1.512981839,2.591036348,0.656440224,0.0164533,TRUE
0.636695057,102016600,1.548761816,2.652310858,0.656440224,0.016145919,TRUE
0.649497776,75488000,1.538539005,2.634803922,0.656440224,0.016232563,FALSE
0.65661774,70133000,1.512981839,2.591036348,0.656440224,0.0164533,TRUE
0.704225347,40233200,1.579430387,2.704831899,0.656440224,0.015891446,FALSE
0.70009485,64698200,1.528316193,2.617296986,0.656440224,0.016320143,TRUE
0.697795375,67281200,1.474646228,2.525385221,0.656440224,0.016795894,TRUE
0.70270202,123037600,1.43631048,2.45973386,0.656440224,0.017153059,TRUE
0.684594065,202399400,1.349416309,2.310924437,0.656440224,0.018021718,TRUE
0.732001612,96426400,1.395419097,2.389705882,0.656440224,0.017551167,TRUE
0.738405369,92880200,1.364750526,2.337184841,0.656440224,0.01786209,TRUE
0.77734276,153494600,1.390307692,2.380952414,0.656440224,0.017602233,TRUE
0.677454689,343616000,1.170516425,2.004551888,0.656440224,0.020119414,TRUE
0.700412932,102229400,1.170516425,2.004551888,0.656440224,0.020119414,TRUE
0.765930364,108906000,1.23185343,2.109593737,0.656440224,0.019347304,TRUE
0.780672754,83127800,1.242076378,2.127100907,0.656440224,0.019224343,TRUE
0.797587772,96565000,1.257410596,2.153361311,0.656440224,0.019042806,TRUE
0.784083089,86221800,1.226742025,2.100840269,0.656440224,0.019409376,TRUE
0.761999012,65829400,1.180739236,2.022058824,0.656440224,0.019986478,TRUE
0.748527884,128486400,1.150070665,1.969537782,0.656440224,0.020390665,TRUE
0.764972359,81452000,1.165405019,1.99579842,0.656440224,0.020186548,TRUE
0.7578577,93501800,1.144959259,1.960784314,0.656440224,0.020459624,TRUE
0.783672371,141332800,1.17562783,2.013305356,0.656440224,0.020052726,TRUE
0.771313965,91711200,1.150070665,1.969537782,0.656440224,0.020390665,TRUE
0.82727239,79513000,1.226742025,2.100840269,0.656440224,0.019409376,TRUE
0.816681188,54203800,1.201184996,2.057072929,0.656440224,0.019725806,TRUE
0.829802892,81366600,1.211407807,2.074579865,0.656440224,0.019598004,TRUE
0.834771596,76294400,1.211407807,2.074579865,0.656440224,0.019598004,TRUE
0.843283847,157584000,1.216519213,2.083333333,0.656440224,0.019534722,TRUE
0.847186132,113078000,1.386632817,-1.831896552,0.612607759,-0.006157439,TRUE
0.935948233,204268400,1.52646127,-2.016625528,0.612607759,-0.005642227,TRUE
0.978950768,184849000,1.590549408,-2.101293103,0.612607759,-0.005433838,TRUE
